t	j1	j2	j3	j4	j5	grip	ref1	ref2	ref3	ref4	ref5	refg	u1	u2	u3	u4	u5	u6
3.50	15.5	1.2	-15.9	-0.9	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.9	0.0	0.0	0.0
3.60	15.3	1.1	-15.4	-1.3	-0.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.9	0.0	0.0	0.0
3.70	15.3	1.1	-15.4	-1.3	-0.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
3.80	14.8	1.1	-15.2	-1.8	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
3.90	14.8	1.1	-15.2	-1.8	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
4.00	15.3	1.0	-14.5	-0.8	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
4.10	15.3	1.0	-14.5	-0.8	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
4.20	15.4	1.1	-14.1	-1.2	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
4.30	15.4	1.1	-14.1	-1.2	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.9	0.0	0.0	0.0
4.40	15.0	1.1	-14.8	-1.1	-0.9	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.9	0.0	0.0	0.0
4.50	15.0	1.1	-14.8	-1.1	-0.9	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.9	0.0	0.0	0.0
4.60	15.0	1.2	-15.5	-1.4	-0.5	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.9	0.0	0.0	0.0
4.70	15.0	1.2	-15.5	-1.4	-0.5	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
4.80	16.0	1.2	-15.4	-0.3	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
4.90	16.0	1.2	-15.4	-0.3	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
5.00	15.8	0.9	-15.5	-0.9	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
5.10	15.8	0.9	-15.5	-0.9	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
5.20	15.4	1.1	-14.8	-0.8	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
5.30	15.4	1.1	-14.8	-0.8	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0
5.40	15.5	1.0	-14.2	-1.2	-0.2	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0
5.50	15.5	1.0	-14.2	-1.2	-0.2	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.8	0.0	0.0	0.0
5.60	15.9	1.3	-14.5	-0.7	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.8	0.0	0.0	0.0
5.70	15.9	1.3	-14.5	-0.7	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
5.80	16.0	1.2	-15.3	-0.6	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
5.90	16.0	1.2	-15.3	-0.6	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0
6.00	15.7	1.5	-15.7	-0.6	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0
6.10	15.7	1.5	-15.7	-0.6	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
6.20	15.4	1.4	-15.5	-1.1	-0.2	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
6.30	15.4	1.4	-15.5	-1.1	-0.2	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
6.40	15.9	1.3	-14.9	-1.3	-0.5	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
6.50	15.9	1.3	-14.9	-1.3	-0.5	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.6	0.0	0.0	0.0
6.60	15.8	1.1	-14.7	-1.1	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.6	0.0	0.0	0.0
6.70	15.8	1.1	-14.7	-1.1	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.1	0.0	0.0	0.0
6.80	15.4	1.0	-14.5	-1.3	-1.0	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.1	0.0	0.0	0.0
6.90	15.4	1.0	-14.5	-1.3	-1.0	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.8	0.0	0.0	0.0
7.00	15.0	1.1	-14.7	-1.2	-0.9	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.8	0.0	0.0	0.0
7.10	15.0	1.1	-14.7	-1.2	-0.9	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.1	0.0	0.0	0.0
7.20	15.6	1.2	-15.3	-1.3	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.1	0.0	0.0	0.0
7.30	15.6	1.2	-15.3	-1.3	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0
7.40	15.4	0.9	-16.1	-1.2	-1.3	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0
7.50	15.4	0.9	-16.1	-1.2	-1.3	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.0
7.60	14.9	0.9	-15.3	-1.1	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.0
7.70	14.9	0.9	-15.3	-1.1	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
7.80	15.0	1.2	-14.6	-0.9	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
7.90	15.0	1.2	-14.6	-0.9	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.5	0.0	0.0	0.0
8.00	15.7	1.1	-14.4	-1.5	-0.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.5	0.0	0.0	0.0
8.10	15.7	1.1	-14.4	-1.5	-0.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	0.0
8.20	16.1	1.3	-14.4	-0.8	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	0.0
8.30	16.1	1.3	-14.4	-0.8	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.1	0.0	0.0	0.0
8.40	15.2	1.2	-15.6	-0.8	-1.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.1	0.0	0.0	0.0
8.50	15.2	1.2	-15.6	-0.8	-1.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0
8.60	14.8	0.9	-16.0	-1.2	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0
8.70	14.8	0.9	-16.0	-1.2	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.2	0.0	0.0	0.0
8.80	15.4	0.9	-15.4	-1.9	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.2	0.0	0.0	0.0
8.90	15.4	0.9	-15.4	-1.9	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
9.00	15.8	0.9	-14.3	-1.7	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
9.10	15.8	0.9	-14.3	-1.7	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.4	0.0	0.0	0.0
9.20	15.4	1.0	-13.9	-1.1	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.4	0.0	0.0	0.0
9.30	15.4	1.0	-13.9	-1.1	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.6	0.0	0.0	0.0
9.40	15.2	1.0	-14.5	-1.2	-1.0	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.6	0.0	0.0	0.0
9.50	15.2	1.0	-14.5	-1.2	-1.0	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
9.60	15.7	1.2	-15.6	-1.2	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
9.70	15.7	1.2	-15.6	-1.2	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0
9.80	15.7	1.1	-15.9	-1.8	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0
9.90	15.7	1.1	-15.9	-1.8	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0
10.00	15.2	1.1	-15.5	-1.4	-1.0	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0
10.10	15.2	1.1	-15.5	-1.4	-1.0	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
10.20	14.7	1.1	-14.6	-1.5	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
10.30	14.7	1.1	-14.6	-1.5	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.4	0.0	0.0	0.0
10.40	15.1	1.1	-13.9	-0.9	-0.9	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.4	0.0	0.0	0.0
10.50	15.1	1.1	-13.9	-0.9	-0.9	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.5	0.0	0.0	0.0
10.60	15.5	1.0	-14.7	-1.7	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.5	0.0	0.0	0.0
10.70	15.5	1.0	-14.7	-1.7	-1.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.2	0.0	0.0	0.0
10.80	15.2	0.9	-15.7	-0.8	-0.6	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.2	0.0	0.0	0.0
10.90	15.2	0.9	-15.7	-0.8	-0.6	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
11.00	15.1	1.1	-15.5	-0.6	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
11.10	15.1	1.1	-15.5	-0.6	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
11.20	15.5	0.9	-15.3	-0.7	-0.5	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
11.30	15.5	0.9	-15.3	-0.7	-0.5	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0
11.40	16.0	1.2	-14.5	-0.8	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0
11.50	16.0	1.2	-14.5	-0.8	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.9	0.0	0.0	0.0
11.60	15.5	1.0	-14.1	-1.4	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.9	0.0	0.0	0.0
11.70	15.5	1.0	-14.1	-1.4	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.0	0.0	0.0	0.0
11.80	15.4	1.3	-15.0	-0.5	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.0	0.0	0.0	0.0
11.90	15.4	1.3	-15.0	-0.5	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.4	0.0	0.0	0.0
12.00	15.5	1.2	-15.8	-1.0	-0.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.4	0.0	0.0	0.0
12.10	15.5	1.2	-15.8	-1.0	-0.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	0.0
12.20	15.8	1.0	-15.7	-1.2	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	0.0
12.30	15.8	1.0	-15.7	-1.2	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
12.40	15.7	1.1	-15.1	-1.7	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
12.50	15.7	1.1	-15.1	-1.7	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	0.0
12.60	15.2	0.9	-14.3	-1.1	-1.1	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	0.0
12.70	15.2	0.9	-14.3	-1.1	-1.1	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.3	0.0	0.0	0.0
12.80	15.2	1.0	-14.3	-1.4	-0.8	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.3	0.0	0.0	0.0
12.90	15.2	1.0	-14.3	-1.4	-0.8	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.4	0.0	0.0	0.0
13.00	15.6	0.8	-15.1	-1.4	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.4	0.0	0.0	0.0
13.10	15.6	0.8	-15.1	-1.4	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0
13.20	15.5	1.2	-15.6	-1.8	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0
13.30	15.5	1.2	-15.6	-1.8	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
13.40	15.2	1.1	-15.4	-1.0	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
13.50	15.2	1.1	-15.4	-1.0	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
13.60	15.1	1.3	-15.0	-0.9	-0.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
13.70	15.1	1.3	-15.0	-0.9	-0.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.4	0.0	0.0	0.0
13.80	15.9	1.3	-14.5	-0.6	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.4	0.0	0.0	0.0
13.90	15.9	1.3	-14.5	-0.6	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
14.00	16.0	1.2	-14.7	-0.8	0.0	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
14.10	16.0	1.2	-14.7	-0.8	0.0	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.3	0.0	0.0	0.0
14.20	15.2	1.2	-15.2	-1.2	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.3	0.0	0.0	0.0
14.30	15.2	1.2	-15.2	-1.2	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
14.40	15.1	1.0	-15.5	-0.9	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
14.50	15.1	1.0	-15.5	-0.9	-0.5	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
14.60	15.8	1.2	-15.5	-1.1	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
14.70	15.8	1.2	-15.5	-1.1	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
14.80	16.0	1.0	-14.8	-1.1	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0
14.90	16.0	1.0	-14.8	-1.1	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.9	0.0	0.0	0.0
15.00	15.5	1.3	-14.4	-1.5	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.9	0.0	0.0	0.0
15.10	15.5	1.3	-14.4	-1.5	-0.7	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.2	0.0	0.0	0.0
15.20	15.0	0.8	-15.1	-1.2	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.2	0.0	0.0	0.0
15.30	15.0	0.8	-15.1	-1.2	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	0.0
15.40	15.4	1.0	-15.4	-1.5	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	0.0
15.50	15.4	1.0	-15.4	-1.5	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
15.60	15.7	1.1	-15.0	-1.0	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
15.70	15.7	1.1	-15.0	-1.0	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.3	0.0	0.0	0.0
15.80	14.9	0.9	-15.3	-2.1	-1.4	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.3	0.0	0.0	0.0
15.90	14.9	0.9	-15.3	-2.1	-1.4	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0
16.00	14.8	0.9	-15.0	-1.3	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0
16.10	14.8	0.9	-15.0	-1.3	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0
16.20	15.5	0.9	-14.4	-1.1	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0
16.30	15.5	0.9	-14.4	-1.1	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	0.0
16.40	15.5	0.9	-14.8	-1.4	-1.2	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	0.0
16.50	15.5	0.9	-14.8	-1.4	-1.2	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.8	0.0	0.0	0.0
16.60	15.1	0.9	-15.1	-1.4	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.8	0.0	0.0	0.0
16.70	15.1	0.9	-15.1	-1.4	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0
16.80	14.9	1.2	-15.4	-1.5	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0
16.90	14.9	1.2	-15.4	-1.5	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
17.00	15.6	1.0	-15.3	-0.4	-0.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0
17.10	15.6	1.0	-15.3	-0.4	-0.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
